isin,ticker,yahoo_symbol,status
IE00BQN1KC32,CEMT,IEFS.L,isin_search
DE000ETFL573,D6RQ,D6RQ.DE,suffix
IE000FRX67F3,GEVT,GEVT.DE,suffix
IE000PDUVTF3,XIUS,XIUS.DE,suffix
IE0001QF56M0,CHIN,CHIN.DE,suffix
LU0290356954,DBXQ,DBXQ.DE,suffix
IE00042EX8S2,3DGD,3DGD.L,suffix
LU1974695790,EMIG,EMIG.DE,suffix
IE000940RNE6,WBKN,WBKN.DE,suffix
IE00BZ173V67,3SUR,3SUR.DE,suffix
LU2300294316,ECR1,ECR1.DE,suffix
LU3322521785,EBND,EBND.DE,suffix
IE0009WYJCP8,ESAL,ESAL.DE,suffix
IE00BHZRR253,FLRG,FLRG.DE,suffix
IE00B14X4S71,IUSU,IUSU.DE,suffix
LU2788421340,XCSI,XCSI.DE,suffix
LU1681048127,B500,B500.DE,suffix
LU3180074463,SOVE,SOVE.DE,suffix
IE00BK80XL30,MCHN,MCHN.DE,suffix
LU2993390686,EDEC,EDEC.DE,suffix
IE0002UMVXQ1,JSUD,JSUD.DE,suffix
IE00BLCH1X54,T1EU,T1EU.DE,suffix
LU1291104575,ENOA,ENOA.DE,suffix
LU3281688120,CCNE,CCNE.DE,suffix
IE000VH3JSL8,VEXD,VEXD.DE,suffix
IE00B6YX5D40,SPYD,SPYD.DE,suffix
IE000S67ID55,DEGT,DEGT.DE,suffix
IE00BFWFPX50,ZPDK,ZPDK.DE,suffix
IE00BZ0G8C04,ZPDW,ZPDW.DE,suffix
IE00B9M6SJ31,IBCQ,IBCQ.DE,suffix
LU2194449075,LOWD,LOWD.DE,suffix
LU3086269894,EDEY,EDEY.DE,suffix
IE000783LRG9,JRZD,JRZD.DE,suffix
IE00BGDQ0T50,36B5,36B5.DE,suffix
IE00BK1PV445,XD9D,XD9D.DE,suffix
IE00BKFB6K94,CNUA,CNUA.DE,suffix
CH1453356367,GODE,,no_data
IE00BYM31M36,QDVQ,QDVQ.DE,suffix
IE00BJP26D89,EUED,EUED.DE,suffix
IE000F6G1DE0,IE1A,IE1A.DE,suffix
IE000UY6XF65,IG34,IG34.DE,suffix
IE000AV35A01,JESM,JESM.DE,suffix
IE00BMH5YR69,DR7E,DR7E.DE,suffix
IE000FL46JJ1,XEQL,XEQL.DE,suffix
IE00BH04GW44,VX6F,VX6F.DE,suffix
LU0252633754,LYY7,LYY7.DE,suffix
IE00BJ5JP329,3SUE,3SUE.DE,suffix
IE0008BA4TY1,ASWM,ASWM.DE,suffix
IE00BJK3WF00,BBLL,BBLL.DE,suffix
IE00BNC0M913,AW1H,AW1H.DE,suffix
IE00BL58LL31,XZBE,XZBE.DE,suffix
IE00B1TXHL60,IQQL,IQQL.DE,suffix
IE00018LB0D8,WF1E,WF1E.DE,suffix
IE000PXXRS03,GQDW,GQDW.DE,suffix
IE00BGYWFK87,VUCE,VUCE.DE,suffix
IE00BNC1G707,XUCM,XUCM.DE,suffix
IE00BG11HV38,EMND,EMND.DE,suffix
IE000AZOUN82,FLXA,FLXA.DE,suffix
IE000HM5TZ60,BCRP,BCRP.DE,suffix
IE000PO34ON2,A0DT,A0DT.DE,suffix
LU2082996112,INDA,INDA.DE,suffix
LU2697597552,BJLM,BJLM.DE,suffix
IE00B4JNQZ49,QDVH,QDVH.DE,suffix
LU2785470191,LAAA,LAAA.DE,suffix
IE0006K7DEL9,GCOR,GCOR.DE,suffix
IE00B3VTN290,SXRQ,SXRQ.DE,suffix
IE000EQGURT5,FTTC,FTTC.DE,suffix
LU0397221945,XQUI,XQUI.DE,suffix
LU2924149862,GTSB,GTSB.DE,suffix
IE00BDF16114,WTD7,WTD7.DE,suffix
IE0000GXRR13,EUPD,EUPD.DE,suffix
IE00B9MRHC27,XDN0,XDN0.DE,suffix
IE0006PTRUI8,MCTA,MCTA.DE,suffix
DE000ETFL128,EL4L,EL4L.DE,suffix
IE00BKVKW020,FVD,FVD.DE,suffix
IE000CV0WWL4,JCPN,JCPN.DE,suffix
IE0002VEN3U3,CEMA,CEMA.DE,suffix
XS2875105608,QQQY,QQQY.DE,suffix
IE0000MK7GG1,GEUR,GEUR.DE,suffix
IE000IP0UC52,SADH,SADH.DE,suffix
LU0468897110,D5BC,D5BC.DE,suffix
IE000Y7V5EW2,CEMV,CEMV.DE,suffix
IE000ESLTCW9,EBXA,EBXA.DE,suffix
IE000FXHG8D6,T1OD,T1OD.DE,suffix
IE00B5KQNG97,H4ZF,H4ZF.DE,suffix
IE000FG3UNB8,ATEA,ATEA.DE,suffix
IE000TZ4SIN6,IQGA,IQGA.DE,suffix
IE00BQN1K562,CEMQ,CEMQ.DE,suffix
IE00050J4789,ESAG,ESAG.DE,suffix
DE000ETF9033,E903,E903.DE,suffix
IE00BK72HH44,4UB9,4UB9.DE,suffix
IE000IEOQSJ3,JEYH,JEYH.DE,suffix
LU0950676469,CHSV,CHSV.DE,suffix
IE000IEGVMH6,WEBI,WEBI.DE,suffix
LU2446383338,ASRX,ASRX.DE,suffix
IE0006D3PGW3,EXCN,EXCN.DE,suffix
IE0000KA1ZX3,H41Y,H41Y.DE,suffix
IE00BFNM3K80,S6DW,S6DW.DE,suffix
IE000U9ODG19,5J50,5J50.DE,suffix
LU2089238625,PRAC,PRAC.DE,suffix
IE00B53L4X51,SXRY,SXRY.DE,suffix
XS2901886288,YMSF,YMSF.DE,suffix
IE00BZ163H91,VGEB,VGEB.DE,suffix
IE000M8F3JA6,XGLA,XGLA.DE,suffix
IE000U6ABUJ7,IRFT,IRFT.DE,suffix
IE00BH04FZ00,VGCF,VGCF.DE,suffix
IE000GEHNQU9,WELL,WELL.DE,suffix
IE00BYSX4846,FYEM,FYEM.DE,suffix
IE000ZOI8OK5,IB27,IB27.DE,suffix
IE000NX8S1Z1,POWR,POWR.DE,suffix
IE00BF2FPB31,T7EU,T7EU.DE,suffix
IE000XIBT2R7,LVLE,LVLE.DE,suffix
IE00B9MRJJ36,XDGM,XDGM.DE,suffix
IE00BMDH1538,HDR0,HDR0.DE,suffix
LU2868143954,BJL1,BJL1.DE,suffix
DE000ETFL557,D6RS,D6RS.DE,suffix
DE000A0H08N1,EXH7,EXH7.DE,suffix
IE00B14X4T88,IQQX,IQQX.DE,suffix
LU1109942653,XHYG,XHYG.DE,suffix
IE00BSPLC520,ZPRU,ZPRU.DE,suffix
IE00BMW42637,ESIE,ESIE.DE,suffix
DE000A0F5UK5,EXV6,EXV6.DE,suffix
LU0629460089,UIMP,UIMP.DE,suffix
IE0006FAD976,FSPU,FSPU.DE,suffix
LU0908501058,LGQG,LGQG.DE,suffix
IE00BGPP6473,CBUE,CBUE.DE,suffix
IE000CXVOXQ1,WDGE,WDGE.DE,suffix
